text,source,rating,title,url,sentiment_label,sentiment_confidence,sentiment_unified_expected,emotion_labels,ensemble_label,ensemble_confidence,ensemble_unified_expected,ensemble_all_scores,sarcasm_label,sarcasm_confidence,sarcastic,aspects_found
"Customers find this smartphone to be a premium compact device with a sleek design and superb camera quality that takes good photographs. The phone performs smoothly and offers good value for money. While the battery life receives mixed reviews, with some finding it good while others say it drains quickly, customers report that the device heats up badly during use.",amazon_ai_summary,,,,positive,0.7186117768287659,0.37058253427389937,admiration,positive,0.4485796396899506,0.11144641338795636,"{'very negative': 0.04085687018372916, 'negative': 0.1795852569001333, 'neutral': 0.31317214104941005, 'positive': 0.4485796396899506, 'very positive': 0.01780609217677685}",non_irony,0.7522171139717102,False,"battery,camera,build_quality,price_value,service,software,cooling,design"
"I have been using this phone for a month now and the Samsung Galaxy S24 is a very good phone. If you are someone who is looking to buy a phone in this price range then you probably have the Iphone 15, Pixel 8 series as an alternative option but I would say the Samsung phone experience is the best of the three unless you are into the Apple ecosystem or you want to buy and IPhone cuz it's an IPhone (It's just crazy that many people make decisions like that 😂).Jokes apart, I would say at this price this is probably the best phone in terms of the display, software experience and overall features. The performance is also very good, there are many people who are skeptical about the Exynos chips which is obviously unfair from Samsung to have two versions of the same phone but at least this time the chip is very good and almost as powerful as the SD 8 Gen 3. Yes it is 10-15% less powerful in the CPU department from benchmarks but honestly theses flagship chipsets are so powerful that 90% of the people are not even going to notice the slight difference. I tried playing COD on this phone at max possible settings for 1 hour and the phone was hot but not any more hot than any other phone would get. Yes it did drop the battery which I will get to later but I don't think raw performance is an issue with the Exynos chips this time as the Exynos chips is actually more powerful that the SD 8 Gen 3 in the GPU department. Now coming to the battery this is the only place I am a little disappointed with this phone like if you are a light user who only uses their phone for calls, messages, music on bluetooth you can make the phone work for an entire day but if you are a medium or a heavy user like if you play games, take pictures, videos etc you will definetly drain the battery before the end of the day. In my experience I am a fairly heavy user using bluetooth, mobile hotspot, playing a few light games I always need to charge the phone at around 5 pm. But this is a sacrifice you have to make if you are getting a small phone, now if you are thinking that the IPhone 15 is also a small phone but it has better battery life then that is because the IPhone 15 only has a 60hz display which isen't as smooth the 120hz on all the phones these days and also does not consume a lot of battery like a 120hz display would. I am not that big of a camera bluff so I won't talk about it just want to say that it is a good camera with sharp pictures with good looking colors and camera features (Checkout the images attached). The video is also very good.Overall, the Samsung Galaxy S24 emerges as an impressive smartphone, overshadowing debates about Exynos chip performance differences. Its overall performance, combined with its compact size, makes it a compelling choice for users seeking a premium smartphone experience.Read more",amazon_review,5.0,,,positive,0.27173686027526855,0.5203277945439302,"amusement,admiration",positive,0.4265040683935978,0.31675512688504254,"{'very negative': 0.02498757803325325, 'negative': 0.2255684912264361, 'neutral': 0.08166494601199795, 'positive': 0.4265040683935978, 'very positive': 0.24127491633471493}",non_irony,0.9765313267707825,False,"price_value,software,design"
"This is an updated review :So just moved from S20, which I had for so many years to the new S24. The phone itself is good, everything works fine.. but that's expected. Got the Golden yellow colour and thankfully it's not as flashy as shown in the photos.. this is more of a light cream colour which gives a slight golden shine when seen at particular angles. It's a very decent looking phone.When you use it, the first thing you  notice is that this phone really heats up. It's Samsungs flagship and the heating issue is not limited to just while charging it, even when you use it normally.. the back gets hot. Never faced this with the S20. I feel like am using some cheap Chinese phone...well it won't burn your ear, but yes it's hot enough for one to take note.>>And now after a few more days of usage, the heating issue has disappeared. Even after hours of continuous use it doesn't heat up... not sure what happened.. perhaps some software update.Second is the design. Samsung used to have it's own design team which came up with really innovative stuff.. now they are just copying the iPhone. It literally looks like a Chinese knock off, OK let's give them credit.. it looks like a cheap Korean knock off of the iPhone. Nothing wrong with that, except that if you want to copy then copy something good. Personally the flat edged design is terrible to grasp and feels rigid in the palm. The earlier curved edge ones were so much comfortable to hold. Now you have to hold on to this flat metal frame which heats up.. it's not a pleasant experience. Perhaps they made this for cold weather countries, so you get an inbuilt palm heater with your phone. A phone that keeps your hands warm while in the cold... heaven knows what the designers were thinking!>> Well as I said before the heating issue has gone. As for the shape, I would say it's easier to handle having those flat edges.. it rests easily on the figers while typing etc.. but still you do feel the flat edges when the phone is in your pocket etc.. So the shape is a mixed bag verdict. Personally I prefer smoother edges.The battery drains out fast aswell..  currently it's matching the drainage speed of my old Samsung. Basically you have to have a fast charger around.>> This is the point why I actually decided to edit the review. The phone's software literally optmises battery usage. It continuously adjusts screen brightness levels.. and with time and use, it's getting better at optimising battery performance. For regular usage, with a few hrs of videos and few hrs of games.. it's pulling through the day quiet easily.Honestly I don't know why this phone should cost so much.. for the issues it has, you should easily get a similar cheaper phone in the 20-25k range.>> Doubt it, this phone keeps getting better with usage. Never expected or experienced that before.Camera haven't yet used. My old S20 used to give some amazing results and have used it a lot with manual settings aswell. Wonder if the S24 will be better there.I think I might switch back to the S20.>> Camera still not used to potential. Basic shots are very crisp though.The AI functions are also quiet handy. Just played around till now.. so hopefully like the other aspects will get better with time.🤞Read more",amazon_review,5.0,An amazing compact phone - The Exynos2400 is very good with no issues as with the previous chipsets.,,positive,0.16952961683273315,0.2711222605280248,"admiration,approval",negative,0.5870598371704305,-0.2932860208873818,"{'very negative': 0.08030211509602281, 'negative': 0.5870598371704305, 'neutral': 0.18898156815310238, 'positive': 0.12622093357317615, 'very positive': 0.017435546007268203}",non_irony,0.9113686680793762,False,"camera,display,performance,software,cooling,design"
"Camera – 4.5/5The camera performs really well. It captures great photos even in low-light conditions. Video quality is also impressive and very stable. The phone supports 8K at 30 FPS, and it works smoothly without any issues.Battery – 3/5The battery could have been better. With continuous usage, the battery backup lasts around 5–6 hours, so I usually have to charge the phone twice a day.Performance – 3.5/5Performance has been good so far, and I haven’t faced any major issues with the Exynos processor. However, there is a noticeable heating problem, as the phone tends to get warm quite quickly during heavy use.Display – 5/5The display is next level. It is bright, smooth, and very enjoyable to watch content on. The biometric sensor also works accurately and quickly.Storage – 3/5The 128 GB storage feels quite limited. Recording just 20–30 videos of 1–2 minutes each in UHD 60 FPS almost filled up the storage.Overall:A very good phone with an excellent camera and display, but the battery backup and storage disappointed me a little. Go for 256 GB storage at least..Read more",amazon_review,4.0,,,positive,0.9089860916137695,0.475199485992026,admiration,positive,0.8097196889230756,0.41973311723163015,"{'very negative': 0.006413187819486271, 'negative': 0.020612289170236685, 'neutral': 0.13166222891250454, 'positive': 0.8097196889230756, 'very positive': 0.03159260517469699}",non_irony,0.9727419018745422,False,"battery,camera,performance,sound,build_quality,service,software,cooling"
"I am pleased with the phone, still learning its features.Read more",amazon_review,,"Not flagship material,..but now I think it is!",,positive,0.9297240376472473,0.473283980650282,joy,positive,0.7395349222660942,0.5385114329477405,"{'very negative': 0.006363069471059496, 'negative': 0.01745978069782328, 'neutral': 0.05280529593035847, 'positive': 0.7395349222660942, 'very positive': 0.18383693163466452}",non_irony,0.9573943614959717,False,general
"Bueno, he de decir que el móvil no cumplió mis expectativas.. supuestamente compré un móvil nuevo y me enviaron uno reacondicionado..lo que si puedo decir es que la respuesta del vendedor fue rápida y no tuve ningún inconveniente para realizar la devolución..el reembolso me llegó en 48 horas luego de que el vendedor recepcionara el productoRead more",amazon_review,,Storage should be at least 256GB or more,,very negative,0.25978735089302063,-0.2786844923576662,"disappointment,neutral",negative,0.422225160426571,-0.43632450622018043,"{'very negative': 0.3246685668189804, 'negative': 0.422225160426571, 'neutral': 0.10628840749218141, 'positive': 0.09472244890036352, 'very positive': 0.05209541636190368}",non_irony,0.9475535154342651,False,"service,software"
Everything works good 👍Read more,amazon_review,,,,positive,0.7816406488418579,0.4435318992132781,"approval,admiration",positive,0.6064537151579622,0.5478669025249973,"{'very negative': 0.017205422696809632, 'negative': 0.03205204531700101, 'neutral': 0.06641732652690091, 'positive': 0.6064537151579622, 'very positive': 0.27787149030132624}",irony,0.7633047103881836,True,general
"This is an original phone. But it's the china variant. You will see quite a lot of notifications in chinese randomly.Plus, the biggest let-down is that it does not have eSim option. I kept wondering what the catch was for such low price, and found it during my travel.Read more",amazon_review,,,,very negative,0.029738720506429672,-0.24580278659446156,surprise,negative,0.5406923656958412,-0.2059293563508446,"{'very negative': 0.028541738153233104, 'negative': 0.5406923656958412, 'neutral': 0.26187020168549957, 'positive': 0.1518742596302342, 'very positive': 0.017021434835192}",non_irony,0.9601016640663147,False,"price_value,software"
Display is Ultra HD. The best of best.,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-512-gb/product-reviews/itm463827d6eb2be?pid=MOBGX2F3XNW3HK8K,positive,0.39835917949676514,0.2835499183660298,admiration,very positive,0.49153257421700325,0.58752473161375,"{'very negative': 0.017722748110217307, 'negative': 0.03163905832417137, 'neutral': 0.20003675001050858, 'positive': 0.2590688693380995, 'very positive': 0.49153257421700325}",non_irony,0.5745420455932617,False,display
"It's like a perfect smartphone, it is equipped with a good camera (5x telephoto), a great battery, a great display, a great performance and it offers a lot of customization options which I love the most",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-512-gb/product-reviews/itm463827d6eb2be?pid=MOBGX2F3XNW3HK8K,positive,0.627174437046051,0.5838894503066216,"admiration,love",very positive,0.5872536396683438,0.7576409532086543,"{'very negative': 0.011204496437664907, 'negative': 0.011241414791587639, 'neutral': 0.015875414354865138, 'positive': 0.3744250347475385, 'very positive': 0.5872536396683438}",non_irony,0.8699060082435608,False,"battery,camera,display,performance,sound,software,cooling"
"Color Titanium Black • RAM 12 GB • Storage 512 GB · Nice performance of camera and other features.. Samsung always great..,",flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-512-gb/product-reviews/itm463827d6eb2be?pid=MOBGX2F3XNW3HK8K,neutral,0.46768856048583984,0.21943601968819829,admiration,very positive,0.3698123758527887,0.5039653558558733,"{'very negative': 0.01450999430443191, 'negative': 0.03489732709062917, 'neutral': 0.248557027046488, 'positive': 0.33222327570566224, 'very positive': 0.3698123758527887}",non_irony,0.7769461870193481,False,"camera,display,performance,sound"
I appreciate that making the flat display for 24 ultra. As this ultra series provide viewer better,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/product-reviews/itm12ef5ea0212ed?aid=b32e49f9-79fd-4798-98ad-51dd89a408d0&mid=FLIPKART&fid=762594dc-2923-440e-a27d-41644687550d.MOBGX2F3RQKKKTAW&an=Display&cat=Mobile&vert=Handset,neutral,0.4202324450016022,-0.04138935678926169,admiration,neutral,0.40336385898911176,0.0132115927065862,"{'very negative': 0.02862703282202722, 'negative': 0.280423771206204, 'neutral': 0.40336385898911176, 'positive': 0.21106965170188324, 'very positive': 0.07651568528077379}",irony,0.5790408253669739,True,"display,software"
Phone is fantastic no doubt aboutit . Love it's Display. Surrounding sound quality is at the top,flipkart_review,,,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-256-gb/product-reviews/itm12ef5ea0212ed?aid=b32e49f9-79fd-4798-98ad-51dd89a408d0&mid=FLIPKART&fid=762594dc-2923-440e-a27d-41644687550d.MOBGX2F3RQKKKTAW&an=Display&cat=Mobile&vert=Handset,positive,0.5340676307678223,0.6847195971209772,"admiration,love",very positive,0.653111690209902,0.7954465194466758,"{'very negative': 0.008265727296503902, 'negative': 0.009908912469815508, 'neutral': 0.017603644487407685, 'positive': 0.3111100255363709, 'very positive': 0.653111690209902}",non_irony,0.8247092962265015,False,"display,sound,build_quality,cooling"
