year,country,country_code,indicator,inflation_pct,unit
2010,India,IND,"Inflation, consumer prices (annual %)",11.9894,
2011,India,IND,"Inflation, consumer prices (annual %)",8.9118,
2012,India,IND,"Inflation, consumer prices (annual %)",9.479,
2013,India,IND,"Inflation, consumer prices (annual %)",10.0179,
2014,India,IND,"Inflation, consumer prices (annual %)",6.6657,
2015,India,IND,"Inflation, consumer prices (annual %)",4.907,
2016,India,IND,"Inflation, consumer prices (annual %)",4.9482,
2017,India,IND,"Inflation, consumer prices (annual %)",3.3282,
2018,India,IND,"Inflation, consumer prices (annual %)",3.9388,
2019,India,IND,"Inflation, consumer prices (annual %)",3.7295,
2020,India,IND,"Inflation, consumer prices (annual %)",6.6234,
2021,India,IND,"Inflation, consumer prices (annual %)",5.1314,
2022,India,IND,"Inflation, consumer prices (annual %)",6.699,
2023,India,IND,"Inflation, consumer prices (annual %)",5.6491,
2024,India,IND,"Inflation, consumer prices (annual %)",4.953,
