year,country,country_code,indicator,value_usd
2010,India,IND,GDP per capita (current US$),1347.52
2011,India,IND,GDP per capita (current US$),1445.46
2012,India,IND,GDP per capita (current US$),1429.32
2013,India,IND,GDP per capita (current US$),1432.84
2014,India,IND,GDP per capita (current US$),1553.88
2015,India,IND,GDP per capita (current US$),1584.0
2016,India,IND,GDP per capita (current US$),1707.51
2017,India,IND,GDP per capita (current US$),1950.1
2018,India,IND,GDP per capita (current US$),1966.25
2019,India,IND,GDP per capita (current US$),2041.43
2020,India,IND,GDP per capita (current US$),1907.04
2021,India,IND,GDP per capita (current US$),2239.61
2022,India,IND,GDP per capita (current US$),2347.45
2023,India,IND,GDP per capita (current US$),2530.12
2024,India,IND,GDP per capita (current US$),2694.74
