date,year,month,brand,article,wikipedia_views
2019-01-01,2019,1,Samsung,Samsung_Galaxy,71645
2019-02-01,2019,2,Samsung,Samsung_Galaxy,75949
2019-03-01,2019,3,Samsung,Samsung_Galaxy,79824
2019-04-01,2019,4,Samsung,Samsung_Galaxy,70104
2019-05-01,2019,5,Samsung,Samsung_Galaxy,73982
2019-06-01,2019,6,Samsung,Samsung_Galaxy,73356
2019-07-01,2019,7,Samsung,Samsung_Galaxy,76978
2019-08-01,2019,8,Samsung,Samsung_Galaxy,87522
2019-09-01,2019,9,Samsung,Samsung_Galaxy,90881
2019-10-01,2019,10,Samsung,Samsung_Galaxy,89554
2019-11-01,2019,11,Samsung,Samsung_Galaxy,87784
2019-12-01,2019,12,Samsung,Samsung_Galaxy,84345
2020-01-01,2020,1,Samsung,Samsung_Galaxy,79011
2020-02-01,2020,2,Samsung,Samsung_Galaxy,86117
2020-03-01,2020,3,Samsung,Samsung_Galaxy,82637
2020-04-01,2020,4,Samsung,Samsung_Galaxy,73996
2020-05-01,2020,5,Samsung,Samsung_Galaxy,88801
2020-06-01,2020,6,Samsung,Samsung_Galaxy,81084
2020-07-01,2020,7,Samsung,Samsung_Galaxy,86226
2020-08-01,2020,8,Samsung,Samsung_Galaxy,85063
2020-09-01,2020,9,Samsung,Samsung_Galaxy,64341
2020-10-01,2020,10,Samsung,Samsung_Galaxy,72140
2020-11-01,2020,11,Samsung,Samsung_Galaxy,65465
2020-12-01,2020,12,Samsung,Samsung_Galaxy,57804
2021-01-01,2021,1,Samsung,Samsung_Galaxy,68614
2021-02-01,2021,2,Samsung,Samsung_Galaxy,60830
2021-03-01,2021,3,Samsung,Samsung_Galaxy,71180
2021-04-01,2021,4,Samsung,Samsung_Galaxy,61442
2021-05-01,2021,5,Samsung,Samsung_Galaxy,62834
2021-06-01,2021,6,Samsung,Samsung_Galaxy,72663
2021-07-01,2021,7,Samsung,Samsung_Galaxy,92376
2021-08-01,2021,8,Samsung,Samsung_Galaxy,90345
2021-09-01,2021,9,Samsung,Samsung_Galaxy,84878
2021-10-01,2021,10,Samsung,Samsung_Galaxy,76332
2021-11-01,2021,11,Samsung,Samsung_Galaxy,72984
2021-12-01,2021,12,Samsung,Samsung_Galaxy,61959
2022-01-01,2022,1,Samsung,Samsung_Galaxy,63379
2022-02-01,2022,2,Samsung,Samsung_Galaxy,60614
2022-03-01,2022,3,Samsung,Samsung_Galaxy,63224
2022-04-01,2022,4,Samsung,Samsung_Galaxy,56204
2022-05-01,2022,5,Samsung,Samsung_Galaxy,50490
2022-06-01,2022,6,Samsung,Samsung_Galaxy,49072
2022-07-01,2022,7,Samsung,Samsung_Galaxy,56541
2022-08-01,2022,8,Samsung,Samsung_Galaxy,56650
2022-09-01,2022,9,Samsung,Samsung_Galaxy,61162
2022-10-01,2022,10,Samsung,Samsung_Galaxy,49550
2022-11-01,2022,11,Samsung,Samsung_Galaxy,47349
2022-12-01,2022,12,Samsung,Samsung_Galaxy,42015
2023-01-01,2023,1,Samsung,Samsung_Galaxy,44830
2023-02-01,2023,2,Samsung,Samsung_Galaxy,44358
2023-03-01,2023,3,Samsung,Samsung_Galaxy,50816
2023-04-01,2023,4,Samsung,Samsung_Galaxy,42945
2023-05-01,2023,5,Samsung,Samsung_Galaxy,46835
2023-06-01,2023,6,Samsung,Samsung_Galaxy,49651
2023-07-01,2023,7,Samsung,Samsung_Galaxy,50169
2023-08-01,2023,8,Samsung,Samsung_Galaxy,54759
2023-09-01,2023,9,Samsung,Samsung_Galaxy,60176
2023-10-01,2023,10,Samsung,Samsung_Galaxy,65341
2023-11-01,2023,11,Samsung,Samsung_Galaxy,61818
2023-12-01,2023,12,Samsung,Samsung_Galaxy,55200
2024-01-01,2024,1,Samsung,Samsung_Galaxy,67821
2024-02-01,2024,2,Samsung,Samsung_Galaxy,57140
2024-03-01,2024,3,Samsung,Samsung_Galaxy,58364
2024-04-01,2024,4,Samsung,Samsung_Galaxy,60345
2024-05-01,2024,5,Samsung,Samsung_Galaxy,61407
2024-06-01,2024,6,Samsung,Samsung_Galaxy,57767
2024-07-01,2024,7,Samsung,Samsung_Galaxy,61935
2024-08-01,2024,8,Samsung,Samsung_Galaxy,58369
2024-09-01,2024,9,Samsung,Samsung_Galaxy,60504
2024-10-01,2024,10,Samsung,Samsung_Galaxy,59390
2024-11-01,2024,11,Samsung,Samsung_Galaxy,57905
2024-12-01,2024,12,Samsung,Samsung_Galaxy,2114
2019-01-01,2019,1,Apple iPhone,IPhone,281490
2019-02-01,2019,2,Apple iPhone,IPhone,215478
2019-03-01,2019,3,Apple iPhone,IPhone,328672
2019-04-01,2019,4,Apple iPhone,IPhone,281935
2019-05-01,2019,5,Apple iPhone,IPhone,226581
2019-06-01,2019,6,Apple iPhone,IPhone,234217
2019-07-01,2019,7,Apple iPhone,IPhone,223599
2019-08-01,2019,8,Apple iPhone,IPhone,294895
2019-09-01,2019,9,Apple iPhone,IPhone,489697
2019-10-01,2019,10,Apple iPhone,IPhone,343590
2019-11-01,2019,11,Apple iPhone,IPhone,299711
2019-12-01,2019,12,Apple iPhone,IPhone,288533
2020-01-01,2020,1,Apple iPhone,IPhone,272500
2020-02-01,2020,2,Apple iPhone,IPhone,246365
2020-03-01,2020,3,Apple iPhone,IPhone,223809
2020-04-01,2020,4,Apple iPhone,IPhone,293459
2020-05-01,2020,5,Apple iPhone,IPhone,286354
2020-06-01,2020,6,Apple iPhone,IPhone,289923
2020-07-01,2020,7,Apple iPhone,IPhone,259415
2020-08-01,2020,8,Apple iPhone,IPhone,262476
2020-09-01,2020,9,Apple iPhone,IPhone,264701
2020-10-01,2020,10,Apple iPhone,IPhone,355658
2020-11-01,2020,11,Apple iPhone,IPhone,284317
2020-12-01,2020,12,Apple iPhone,IPhone,248607
2021-01-01,2021,1,Apple iPhone,IPhone,248838
2021-02-01,2021,2,Apple iPhone,IPhone,217522
2021-03-01,2021,3,Apple iPhone,IPhone,238315
2021-04-01,2021,4,Apple iPhone,IPhone,224315
2021-05-01,2021,5,Apple iPhone,IPhone,260718
2021-06-01,2021,6,Apple iPhone,IPhone,262688
2021-07-01,2021,7,Apple iPhone,IPhone,242668
2021-08-01,2021,8,Apple iPhone,IPhone,215125
2021-09-01,2021,9,Apple iPhone,IPhone,325704
2021-10-01,2021,10,Apple iPhone,IPhone,273033
2021-11-01,2021,11,Apple iPhone,IPhone,238283
2021-12-01,2021,12,Apple iPhone,IPhone,229630
2022-01-01,2022,1,Apple iPhone,IPhone,238406
2022-02-01,2022,2,Apple iPhone,IPhone,197891
2022-03-01,2022,3,Apple iPhone,IPhone,222646
2022-04-01,2022,4,Apple iPhone,IPhone,210826
2022-05-01,2022,5,Apple iPhone,IPhone,206923
2022-06-01,2022,6,Apple iPhone,IPhone,194359
2022-07-01,2022,7,Apple iPhone,IPhone,312643
2022-08-01,2022,8,Apple iPhone,IPhone,341916
2022-09-01,2022,9,Apple iPhone,IPhone,486528
2022-10-01,2022,10,Apple iPhone,IPhone,349740
2022-11-01,2022,11,Apple iPhone,IPhone,299420
2022-12-01,2022,12,Apple iPhone,IPhone,215877
2023-01-01,2023,1,Apple iPhone,IPhone,249553
2023-02-01,2023,2,Apple iPhone,IPhone,245804
2023-03-01,2023,3,Apple iPhone,IPhone,251274
2023-04-01,2023,4,Apple iPhone,IPhone,210074
2023-05-01,2023,5,Apple iPhone,IPhone,237993
2023-06-01,2023,6,Apple iPhone,IPhone,300559
2023-07-01,2023,7,Apple iPhone,IPhone,272709
2023-08-01,2023,8,Apple iPhone,IPhone,293560
2023-09-01,2023,9,Apple iPhone,IPhone,396169
2023-10-01,2023,10,Apple iPhone,IPhone,310763
2023-11-01,2023,11,Apple iPhone,IPhone,226280
2023-12-01,2023,12,Apple iPhone,IPhone,168143
2024-01-01,2024,1,Apple iPhone,IPhone,201797
2024-02-01,2024,2,Apple iPhone,IPhone,214009
2024-03-01,2024,3,Apple iPhone,IPhone,240984
2024-04-01,2024,4,Apple iPhone,IPhone,183617
2024-05-01,2024,5,Apple iPhone,IPhone,182763
2024-06-01,2024,6,Apple iPhone,IPhone,177064
2024-07-01,2024,7,Apple iPhone,IPhone,180285
2024-08-01,2024,8,Apple iPhone,IPhone,205734
2024-09-01,2024,9,Apple iPhone,IPhone,235191
2024-10-01,2024,10,Apple iPhone,IPhone,173263
2024-11-01,2024,11,Apple iPhone,IPhone,168013
2024-12-01,2024,12,Apple iPhone,IPhone,5536
2019-01-01,2019,1,Xiaomi,Xiaomi,131839
2019-02-01,2019,2,Xiaomi,Xiaomi,109403
2019-03-01,2019,3,Xiaomi,Xiaomi,120519
2019-04-01,2019,4,Xiaomi,Xiaomi,108742
2019-05-01,2019,5,Xiaomi,Xiaomi,141789
2019-06-01,2019,6,Xiaomi,Xiaomi,116108
2019-07-01,2019,7,Xiaomi,Xiaomi,118593
2019-08-01,2019,8,Xiaomi,Xiaomi,117885
2019-09-01,2019,9,Xiaomi,Xiaomi,124161
2019-10-01,2019,10,Xiaomi,Xiaomi,142038
2019-11-01,2019,11,Xiaomi,Xiaomi,123051
2019-12-01,2019,12,Xiaomi,Xiaomi,112585
2020-01-01,2020,1,Xiaomi,Xiaomi,111498
2020-02-01,2020,2,Xiaomi,Xiaomi,104428
2020-03-01,2020,3,Xiaomi,Xiaomi,103102
2020-04-01,2020,4,Xiaomi,Xiaomi,109238
2020-05-01,2020,5,Xiaomi,Xiaomi,176889
2020-06-01,2020,6,Xiaomi,Xiaomi,320818
2020-07-01,2020,7,Xiaomi,Xiaomi,192039
2020-08-01,2020,8,Xiaomi,Xiaomi,137562
2020-09-01,2020,9,Xiaomi,Xiaomi,120318
2020-10-01,2020,10,Xiaomi,Xiaomi,121498
2020-11-01,2020,11,Xiaomi,Xiaomi,111303
2020-12-01,2020,12,Xiaomi,Xiaomi,105136
2021-01-01,2021,1,Xiaomi,Xiaomi,110642
2021-02-01,2021,2,Xiaomi,Xiaomi,85597
2021-03-01,2021,3,Xiaomi,Xiaomi,102033
