date,sku,competitor,price
2021-01-01,TV-IND-001,Flipkart,39687.68
2021-01-01,TV-IND-001,Amazon,43431.6
2021-01-01,TV-IND-001,Croma,45269.25
2021-01-01,TV-IND-001,Reliance Digital,43757.24
2021-01-01,TV-IND-001,CompeteX,37746.33
2021-02-01,TV-IND-001,Flipkart,38586.21
2021-02-01,TV-IND-001,Amazon,38932.74
2021-02-01,TV-IND-001,Croma,45945.53
2021-02-01,TV-IND-001,Reliance Digital,43769.62
2021-02-01,TV-IND-001,CompeteX,40528.69
2021-03-01,TV-IND-001,Flipkart,37903.75
2021-03-01,TV-IND-001,Amazon,43528.35
2021-03-01,TV-IND-001,Croma,45775.51
2021-03-01,TV-IND-001,Reliance Digital,41810.19
2021-03-01,TV-IND-001,CompeteX,37876.4
2021-04-01,TV-IND-001,Flipkart,38724.36
2021-04-01,TV-IND-001,Amazon,40173.38
2021-04-01,TV-IND-001,Croma,44224.77
2021-04-01,TV-IND-001,Reliance Digital,42917.0
2021-04-01,TV-IND-001,CompeteX,38427.79
2021-05-01,TV-IND-001,Flipkart,40883.74
2021-05-01,TV-IND-001,Amazon,39343.05
2021-05-01,TV-IND-001,Croma,43052.41
2021-05-01,TV-IND-001,Reliance Digital,42586.46
2021-05-01,TV-IND-001,CompeteX,39258.59
2021-06-01,TV-IND-001,Flipkart,41757.29
2021-06-01,TV-IND-001,Amazon,39646.36
2021-06-01,TV-IND-001,Croma,44171.74
2021-06-01,TV-IND-001,Reliance Digital,43725.77
2021-06-01,TV-IND-001,CompeteX,37194.11
2021-07-01,TV-IND-001,Flipkart,40862.03
2021-07-01,TV-IND-001,Amazon,39499.44
2021-07-01,TV-IND-001,Croma,41907.86
2021-07-01,TV-IND-001,Reliance Digital,45522.38
2021-07-01,TV-IND-001,CompeteX,41826.79
2021-08-01,TV-IND-001,Flipkart,41874.32
2021-08-01,TV-IND-001,Amazon,40175.25
2021-08-01,TV-IND-001,Croma,42072.27
2021-08-01,TV-IND-001,Reliance Digital,44188.53
2021-08-01,TV-IND-001,CompeteX,39178.37
2021-09-01,TV-IND-001,Flipkart,38415.07
