date,festival,impact_factor
2019-03-01,Holi,0.15
2019-08-01,Onam,0.1
2019-10-15,Diwali,0.35
2019-11-01,Diwali,0.35
2020-03-01,Holi,0.15
2020-08-01,Onam,0.1
2020-10-15,Diwali,0.35
2020-11-01,Diwali,0.35
2021-03-01,Holi,0.15
2021-08-01,Onam,0.1
2021-10-15,Diwali,0.35
2021-11-01,Diwali,0.35
2022-03-01,Holi,0.15
2022-08-01,Onam,0.1
2022-10-15,Diwali,0.35
2022-11-01,Diwali,0.35
2023-03-01,Holi,0.15
2023-08-01,Onam,0.1
2023-10-15,Diwali,0.35
2023-11-01,Diwali,0.35
2024-03-01,Holi,0.15
2024-08-01,Onam,0.1
2024-10-15,Diwali,0.35
2024-11-01,Diwali,0.35
2025-03-01,Holi,0.15
2025-08-01,Onam,0.1
2025-10-15,Diwali,0.35
2025-11-01,Diwali,0.35
