date,festival,country,holiday_type,impact_factor
2019-01-26,Republic Day,India,Public Holiday,0.15
2019-03-04,Maha Shivaratri,India,Public Holiday,0.15
2019-04-17,Mahavir Jayanti,India,Public Holiday,0.15
2019-04-19,Good Friday,India,Public Holiday,0.15
2019-05-18,Buddha Purnima,India,Public Holiday,0.15
2019-06-05,Id-ul-Fitr,India,Public Holiday,0.15
2019-08-12,Bakrid,India,Public Holiday,0.15
2019-08-15,Independence Day,India,Public Holiday,0.15
2019-08-24,Janmashtami,India,Public Holiday,0.15
2019-09-10,Muharram,India,Public Holiday,0.15
2019-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2019-10-08,Dussehra,India,Public Holiday,0.15
2019-10-27,Diwali,India,Public Holiday,0.35
2019-11-10,Milad-un-Nabi,India,Public Holiday,0.15
2019-11-12,Guru Nanak Jayanti,India,Public Holiday,0.15
2019-12-25,Christmas,India,Public Holiday,0.15
2020-01-26,Republic Day,India,Public Holiday,0.15
2020-02-21,Maha Shivaratri,India,Public Holiday,0.15
2020-04-06,Mahavir Jayanti,India,Public Holiday,0.15
2020-04-10,Good Friday,India,Public Holiday,0.15
2020-05-07,Buddha Purnima,India,Public Holiday,0.15
2020-05-25,Id-ul-Fitr,India,Public Holiday,0.15
2020-08-01,Bakrid,India,Public Holiday,0.15
2020-08-12,Janmashtami,India,Public Holiday,0.15
2020-08-15,Independence Day,India,Public Holiday,0.15
2020-08-30,Muharram,India,Public Holiday,0.15
2020-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2020-10-25,Dussehra,India,Public Holiday,0.15
2020-10-30,Milad-un-Nabi,India,Public Holiday,0.15
2020-11-14,Diwali,India,Public Holiday,0.35
2020-11-30,Guru Nanak Jayanti,India,Public Holiday,0.15
2020-12-25,Christmas,India,Public Holiday,0.15
2021-01-26,Republic Day,India,Public Holiday,0.15
2021-03-11,Maha Shivaratri,India,Public Holiday,0.15
2021-04-02,Good Friday,India,Public Holiday,0.15
2021-04-25,Mahavir Jayanti,India,Public Holiday,0.15
2021-05-14,Id-ul-Fitr,India,Public Holiday,0.15
2021-05-26,Buddha Purnima,India,Public Holiday,0.15
2021-07-21,Bakrid,India,Public Holiday,0.15
2021-08-15,Independence Day,India,Public Holiday,0.15
2021-08-20,Muharram,India,Public Holiday,0.15
2021-08-30,Janmashtami,India,Public Holiday,0.15
2021-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2021-10-15,Dussehra,India,Public Holiday,0.15
2021-10-19,Milad-un-Nabi,India,Public Holiday,0.15
2021-11-04,Diwali,India,Public Holiday,0.35
2021-11-19,Guru Nanak Jayanti,India,Public Holiday,0.15
2021-12-25,Christmas,India,Public Holiday,0.15
2022-01-26,Republic Day,India,Public Holiday,0.15
2022-03-01,Maha Shivaratri,India,Public Holiday,0.15
2022-04-14,Mahavir Jayanti,India,Public Holiday,0.15
2022-04-15,Good Friday,India,Public Holiday,0.15
2022-05-03,Id-ul-Fitr,India,Public Holiday,0.15
2022-05-16,Buddha Purnima,India,Public Holiday,0.15
2022-07-10,Bakrid,India,Public Holiday,0.15
2022-08-09,Muharram,India,Public Holiday,0.15
2022-08-15,Independence Day,India,Public Holiday,0.15
2022-08-19,Janmashtami,India,Public Holiday,0.15
2022-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2022-10-05,Dussehra,India,Public Holiday,0.15
2022-10-09,Milad-un-Nabi,India,Public Holiday,0.15
2022-10-24,Diwali,India,Public Holiday,0.35
2022-11-08,Guru Nanak Jayanti,India,Public Holiday,0.15
2022-12-25,Christmas,India,Public Holiday,0.15
2023-01-26,Republic Day,India,Public Holiday,0.15
2023-02-18,Maha Shivaratri,India,Public Holiday,0.15
2023-04-04,Mahavir Jayanti,India,Public Holiday,0.15
2023-04-07,Good Friday,India,Public Holiday,0.15
2023-04-22,Id-ul-Fitr,India,Public Holiday,0.15
2023-05-05,Buddha Purnima,India,Public Holiday,0.15
2023-06-29,Bakrid,India,Public Holiday,0.15
2023-07-29,Muharram,India,Public Holiday,0.15
2023-08-15,Independence Day,India,Public Holiday,0.15
2023-09-07,Janmashtami,India,Public Holiday,0.15
2023-09-28,Milad-un-Nabi,India,Public Holiday,0.15
2023-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2023-10-24,Dussehra,India,Public Holiday,0.15
2023-11-12,Diwali,India,Public Holiday,0.35
2023-11-27,Guru Nanak Jayanti,India,Public Holiday,0.15
2023-12-25,Christmas,India,Public Holiday,0.15
2024-01-26,Republic Day,India,Public Holiday,0.15
2024-03-08,Maha Shivaratri,India,Public Holiday,0.15
2024-03-29,Good Friday,India,Public Holiday,0.15
2024-04-11,Id-ul-Fitr,India,Public Holiday,0.15
2024-04-21,Mahavir Jayanti,India,Public Holiday,0.15
2024-05-23,Buddha Purnima,India,Public Holiday,0.15
2024-06-17,Bakrid,India,Public Holiday,0.15
2024-07-17,Muharram,India,Public Holiday,0.15
2024-08-15,Independence Day,India,Public Holiday,0.15
2024-08-26,Janmashtami,India,Public Holiday,0.15
2024-09-16,Milad-un-Nabi,India,Public Holiday,0.15
2024-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2024-10-12,Dussehra,India,Public Holiday,0.15
2024-10-31,Diwali,India,Public Holiday,0.35
2024-11-15,Guru Nanak Jayanti,India,Public Holiday,0.15
2024-12-25,Christmas,India,Public Holiday,0.15
2025-01-26,Republic Day,India,Public Holiday,0.15
2025-02-26,Maha Shivaratri,India,Public Holiday,0.15
2025-03-31,Id-ul-Fitr,India,Public Holiday,0.15
2025-04-10,Mahavir Jayanti,India,Public Holiday,0.15
2025-04-18,Good Friday,India,Public Holiday,0.15
2025-05-12,Buddha Purnima,India,Public Holiday,0.15
2025-06-07,Bakrid,India,Public Holiday,0.15
2025-07-06,Muharram,India,Public Holiday,0.15
2025-08-15,Independence Day,India,Public Holiday,0.15
2025-08-16,Janmashtami,India,Public Holiday,0.15
2025-09-05,Milad-un-Nabi,India,Public Holiday,0.15
2025-10-02,Dussehra; Gandhi Jayanti,India,Public Holiday,0.15
2025-10-20,Diwali,India,Public Holiday,0.35
2025-11-05,Guru Nanak Jayanti,India,Public Holiday,0.15
2025-12-25,Christmas,India,Public Holiday,0.15
2026-01-26,Republic Day,India,Public Holiday,0.15
2026-02-15,Maha Shivaratri,India,Public Holiday,0.15
2026-03-21,Id-ul-Fitr (estimated),India,Public Holiday,0.15
2026-03-31,Mahavir Jayanti,India,Public Holiday,0.15
2026-04-03,Good Friday,India,Public Holiday,0.15
2026-05-01,Buddha Purnima,India,Public Holiday,0.15
2026-05-28,Bakrid (estimated),India,Public Holiday,0.15
2026-06-26,Muharram (estimated),India,Public Holiday,0.15
2026-08-15,Independence Day,India,Public Holiday,0.15
2026-08-26,Milad-un-Nabi (estimated),India,Public Holiday,0.15
2026-09-04,Janmashtami,India,Public Holiday,0.15
2026-10-02,Gandhi Jayanti,India,Public Holiday,0.15
2026-10-20,Dussehra,India,Public Holiday,0.15
2026-11-08,Diwali,India,Public Holiday,0.35
2026-11-24,Guru Nanak Jayanti,India,Public Holiday,0.15
2026-12-25,Christmas,India,Public Holiday,0.15
