GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1297763666,20260406,202604,2026,2026.2630,,,,,,,,,,,BUS,BANK,,,,,,BUS,,,1,057,057,05,1,8.0,10,1,10,-1.03092783505155,0,,,,,,,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,20260406,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/sadbhav-lenders-turn-down-narcl-offer-settle-it-out-of-court/articleshow/130045977.cms
1297763670,20260406,202604,2026,2026.2630,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,173,173,17,4,-5.0,5,1,5,-15.5629139072848,0,,,,,,,4,"Jamnagar, Gujarat, India",IN,IN09,22.4667,70.0667,-2098232,4,"Jamnagar, Gujarat, India",IN,IN09,22.4667,70.0667,-2098232,20260406,https://timesofindia.indiatimes.com/city/rajkot/two-former-opposition-leaders-in-jmc-booked-under-gujctoc/articleshow/130045555.cms
1297763689,20260406,202604,2026,2026.2630,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,1,042,042,04,1,1.9,10,1,10,-6.07142857142857,0,,,,,,,4,"Sitapur, Uttar Pradesh, India",IN,IN36,25.1833,80.8667,-2111638,4,"Sitapur, Uttar Pradesh, India",IN,IN36,25.1833,80.8667,-2111638,20260406,https://www.hindustantimes.com/cities/lucknow-news/7yearold-girl-among-3-killed-in-fire-sparked-by-lightning-strike-in-sitapur-village-101775414338577.html
1297763721,20260406,202604,2026,2026.2630,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,020,020,02,1,3.0,2,1,2,-3.6745406824147,0,,,,,,,4,"Baramati, Maharashtra, India",IN,IN16,18.15,74.5833,-2090417,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,20260406,https://www.hindustantimes.com/cities/pune-news/obc-leader-laxman-hake-enters-baramati-bypoll-fray-challenges-sunetra-pawar-101775414275661.html
1297763722,20260406,202604,2026,2026.2630,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,020,020,02,1,3.0,8,1,8,-3.6745406824147,0,,,,,,,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,20260406,https://www.hindustantimes.com/cities/pune-news/obc-leader-laxman-hake-enters-baramati-bypoll-fray-challenges-sunetra-pawar-101775414275661.html
1297763724,20260406,202604,2026,2026.2630,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,1,110,110,11,3,-2.0,33,6,33,-0.534337797927684,0,,,,,,,4,"Baramati, Maharashtra, India",IN,IN16,18.15,74.5833,-2090417,4,"Baramati, Maharashtra, India",IN,IN16,18.15,74.5833,-2090417,20260406,https://www.hindustantimes.com/cities/pune-news/obc-leader-laxman-hake-enters-baramati-bypoll-fray-challenges-sunetra-pawar-101775414275661.html
1297763725,20260406,202604,2026,2026.2630,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,110,110,11,3,-2.0,6,1,6,-3.6745406824147,0,,,,,,,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,4,"Baramati, Maharashtra, India",IN,IN16,18.15,74.5833,-2090417,20260406,https://www.hindustantimes.com/cities/pune-news/obc-leader-laxman-hake-enters-baramati-bypoll-fray-challenges-sunetra-pawar-101775414275661.html
1297763726,20260406,202604,2026,2026.2630,,,,,,,,,,,LEG,CONGRESS,,,,,,LEG,,,0,110,110,11,3,-2.0,2,1,2,-3.6745406824147,0,,,,,,,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,4,"Pune, Maharashtra, India",IN,IN16,18.5333,73.8667,-2108361,20260406,https://www.hindustantimes.com/cities/pune-news/obc-leader-laxman-hake-enters-baramati-bypoll-fray-challenges-sunetra-pawar-101775414275661.html
1297763808,20260406,202604,2026,2026.2630,BUS,BANK,,,,,,BUS,,,,,,,,,,,,,1,057,057,05,1,8.0,30,1,30,-1.03092783505155,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,0,,,,,,,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,20260406,https://economictimes.indiatimes.com/industry/indl-goods/svs/engineering/sadbhav-lenders-turn-down-narcl-offer-settle-it-out-of-court/articleshow/130045977.cms
1297763843,20260406,202604,2026,2026.2630,COP,POLICE,,,,,,COP,,,,,,,,,,,,,1,112,112,11,3,-2.0,4,1,4,-15.5629139072848,4,"Jamnagar, Gujarat, India",IN,IN09,22.4667,70.0667,-2098232,0,,,,,,,4,"Jamnagar, Gujarat, India",IN,IN09,22.4667,70.0667,-2098232,20260406,https://timesofindia.indiatimes.com/city/rajkot/two-former-opposition-leaders-in-jmc-booked-under-gujctoc/articleshow/130045555.cms
