date,sku,product,brand,price,cost,units_sold,region
2019-01-01,TV-IND-001,"Smart TV 55""",Samsung,43559.0,28000.0,748,India
2019-02-01,TV-IND-001,"Smart TV 55""",Samsung,42662.99,28000.0,674,India
2019-03-01,TV-IND-001,"Smart TV 55""",Samsung,39030.32,28000.0,710,India
2019-04-01,TV-IND-001,"Smart TV 55""",Samsung,44460.7,28000.0,752,India
2019-05-01,TV-IND-001,"Smart TV 55""",Samsung,38778.33,28000.0,820,India
2019-06-01,TV-IND-001,"Smart TV 55""",Samsung,45157.79,28000.0,689,India
2019-07-01,TV-IND-001,"Smart TV 55""",Samsung,39861.86,28000.0,666,India
2019-08-01,TV-IND-001,"Smart TV 55""",Samsung,39872.48,28000.0,809,India
2019-09-01,TV-IND-001,"Smart TV 55""",Samsung,41542.67,28000.0,751,India
2019-10-01,TV-IND-001,"Smart TV 55""",Samsung,40597.06,28000.0,904,India
2019-11-01,TV-IND-001,"Smart TV 55""",Samsung,40603.21,28000.0,1135,India
2019-12-01,TV-IND-001,"Smart TV 55""",Samsung,41101.95,28000.0,1016,India
2020-01-01,TV-IND-001,"Smart TV 55""",Samsung,41181.26,28560.0,860,India
2020-02-01,TV-IND-001,"Smart TV 55""",Samsung,43358.53,28560.0,716,India
2020-03-01,TV-IND-001,"Smart TV 55""",Samsung,44004.38,28560.0,740,India
2020-04-01,TV-IND-001,"Smart TV 55""",Samsung,40979.5,28560.0,827,India
2020-05-01,TV-IND-001,"Smart TV 55""",Samsung,44535.19,28560.0,741,India
2020-06-01,TV-IND-001,"Smart TV 55""",Samsung,42845.76,28560.0,678,India
2020-07-01,TV-IND-001,"Smart TV 55""",Samsung,40037.22,28560.0,739,India
2020-08-01,TV-IND-001,"Smart TV 55""",Samsung,46093.15,28560.0,758,India
2020-09-01,TV-IND-001,"Smart TV 55""",Samsung,41956.74,28560.0,839,India
2020-10-01,TV-IND-001,"Smart TV 55""",Samsung,43398.9,28560.0,1029,India
2020-11-01,TV-IND-001,"Smart TV 55""",Samsung,46510.28,28560.0,1179,India
2020-12-01,TV-IND-001,"Smart TV 55""",Samsung,45164.36,28560.0,1075,India
2021-01-01,TV-IND-001,"Smart TV 55""",Samsung,41588.75,29120.0,869,India
2021-02-01,TV-IND-001,"Smart TV 55""",Samsung,42354.43,29120.0,787,India
